date,away_team,away_pts,home_team,home_pts,home_win,season
,Golden State Warriors,105,Los Angeles Clippers,90,0,2022
,Milwaukee Bucks,118,Indiana Pacers,100,0,2022
,Sacramento Kings,101,Memphis Grizzlies,128,1,2022
,Boston Celtics,109,Toronto Raptors,97,0,2022
,Detroit Pistons,106,Los Angeles Lakers,110,1,2022
,Orlando Magic,96,Philadelphia 76ers,101,1,2022
,Denver Nuggets,120,Miami Heat,111,0,2022
,Charlotte Hornets,119,Chicago Bulls,133,1,2022
,Oklahoma City Thunder,89,Houston Rockets,102,1,2022
,Indiana Pacers,98,Minnesota Timberwolves,100,1,2022
,Cleveland Cavaliers,114,Dallas Mavericks,96,0,2022
,Washington Wizards,99,San Antonio Spurs,116,1,2022
,Portland Trail Blazers,107,Utah Jazz,129,1,2022
,New Orleans Pelicans,123,Los Angeles Clippers,104,0,2022
,New York Knicks,110,Brooklyn Nets,112,1,2022
,Memphis Grizzlies,98,Toronto Raptors,91,0,2022
,Golden State Warriors,96,Phoenix Suns,104,1,2022
,Detroit Pistons,92,Portland Trail Blazers,110,1,2022
,Los Angeles Lakers,117,Sacramento Kings,92,0,2022
,Atlanta Hawks,114,Indiana Pacers,111,0,2022
,Denver Nuggets,103,Orlando Magic,108,1,2022
,Minnesota Timberwolves,107,Washington Wizards,115,1,2022
,Philadelphia 76ers,87,Boston Celtics,88,1,2022
,Cleveland Cavaliers,111,Miami Heat,85,0,2022
,Charlotte Hornets,125,Milwaukee Bucks,127,1,2022
,Dallas Mavericks,139,New Orleans Pelicans,107,0,2022
,Houston Rockets,114,Oklahoma City Thunder,110,0,2022
,Sacramento Kings,124,Los Angeles Clippers,115,0,2022
,Chicago Bulls,119,New York Knicks,115,0,2022
,Milwaukee Bucks,93,Toronto Raptors,97,1,2022
,Oklahoma City Thunder,79,Memphis Grizzlies,152,1,2022
,Detroit Pistons,103,Phoenix Suns,114,1,2022
,San Antonio Spurs,114,Portland Trail Blazers,83,0,2022
,Miami Heat,113,Indiana Pacers,104,0,2022
,Cleveland Cavaliers,116,Washington Wizards,101,0,2022
,Philadelphia 76ers,98,Atlanta Hawks,96,0,2022
,Minnesota Timberwolves,105,Brooklyn Nets,110,1,2022
,Orlando Magic,116,Houston Rockets,118,1,2022
,New Orleans Pelicans,107,Dallas Mavericks,91,0,2022
,Boston Celtics,130,Utah Jazz,137,1,2022
,Phoenix Suns,96,Golden State Warriors,118,1,2022
,Los Angeles Clippers,119,Los Angeles Lakers,115,0,2022
,Denver Nuggets,113,New York Knicks,99,0,2022
,Chicago Bulls,111,Brooklyn Nets,107,0,2022
,Miami Heat,102,Milwaukee Bucks,124,1,2022
,Memphis Grizzlies,97,Dallas Mavericks,90,0,2022
,San Antonio Spurs,112,Golden State Warriors,107,0,2022
,Boston Celtics,145,Portland Trail Blazers,117,0,2022
,Los Angeles Clippers,99,Sacramento Kings,104,1,2022
,Utah Jazz,109,Cleveland Cavaliers,108,0,2022
,Charlotte Hornets,130,Atlanta Hawks,127,0,2022
,Washington Wizards,90,Toronto Raptors,102,1,2022
,New Orleans Pelicans,108,Houston Rockets,118,1,2022
,Philadelphia 76ers,127,Charlotte Hornets,124,0,2022
,Oklahoma City Thunder,114,Detroit Pistons,103,0,2022
,Washington Wizards,110,Indiana Pacers,116,1,2022
,Memphis Grizzlies,105,Miami Heat,90,0,2022
,Denver Nuggets,97,Chicago Bulls,109,1,2022
,Cleveland Cavaliers,104,Milwaukee Bucks,112,1,2022
,Atlanta Hawks,121,Minnesota Timberwolves,110,0,2022
,San Antonio Spurs,104,Phoenix Suns,108,1,2022
,Orlando Magic,95,Golden State Warriors,126,1,2022
,Los Angeles Clippers,102,Portland Trail Blazers,90,0,2022
,Brooklyn Nets,102,Dallas Mavericks,99,0,2022
,New York Knicks,121,San Antonio Spurs,109,0,2022
,Boston Celtics,102,Los Angeles Lakers,117,1,2022
,Philadelphia 76ers,110,Charlotte Hornets,106,0,2022
,Chicago Bulls,92,Cleveland Cavaliers,115,1,2022
,Washington Wizards,119,Detroit Pistons,116,0,2022
,New York Knicks,102,Indiana Pacers,122,1,2022
,Milwaukee Bucks,104,Miami Heat,113,1,2022
,Oklahoma City Thunder,110,Toronto Raptors,109,0,2022
,Brooklyn Nets,104,Houston Rockets,114,1,2022
,Dallas Mavericks,104,Memphis Grizzlies,96,0,2022
,Utah Jazz,136,Minnesota Timberwolves,104,0,2022
,Denver Nuggets,120,New Orleans Pelicans,114,0,2022
,Portland Trail Blazers,94,Golden State Warriors,104,1,2022
,Orlando Magic,130,Sacramento Kings,142,1,2022
,Boston Celtics,111,Los Angeles Clippers,114,1,2022
,Utah Jazz,118,Philadelphia 76ers,96,0,2022
,Los Angeles Lakers,95,Memphis Grizzlies,108,1,2022
,Denver Nuggets,111,San Antonio Spurs,123,1,2022
,Sacramento Kings,123,Charlotte Hornets,124,1,2022
,Dallas Mavericks,93,Indiana Pacers,106,1,2022
,Brooklyn Nets,113,Atlanta Hawks,105,0,2022
,New York Knicks,87,Toronto Raptors,90,1,2022
,Milwaukee Bucks,123,Houston Rockets,114,0,2022
,Cleveland Cavaliers,123,Minnesota Timberwolves,106,0,2022
,Detroit Pistons,93,New Orleans Pelicans,109,1,2022
,Los Angeles Lakers,116,Oklahoma City Thunder,95,0,2022
,Boston Celtics,90,Phoenix Suns,111,1,2022
,Orlando Magic,104,Los Angeles Clippers,106,1,2022
,Utah Jazz,123,Washington Wizards,98,0,2022
,Sacramento Kings,103,Cleveland Cavaliers,117,1,2022
,Houston Rockets,106,Memphis Grizzlies,113,1,2022
,Chicago Bulls,92,Miami Heat,118,1,2022
,Golden State Warriors,93,Philadelphia 76ers,102,1,2022
,Denver Nuggets,127,San Antonio Spurs,112,0,2022
,Milwaukee Bucks,112,New York Knicks,97,0,2022
,Brooklyn Nets,116,Detroit Pistons,104,0,2022
,Dallas Mavericks,103,Oklahoma City Thunder,84,0,2022
,New Orleans Pelicans,97,San Antonio Spurs,112,1,2022
,Minnesota Timberwolves,116,Portland Trail Blazers,111,0,2022
,Orlando Magic,94,Los Angeles Lakers,106,1,2022
,Miami Heat,94,Cleveland Cavaliers,105,1,2022
,Golden State Warriors,102,Indiana Pacers,100,0,2022
,Sacramento Kings,101,Toronto Raptors,124,1,2022
,Houston Rockets,132,Atlanta Hawks,126,0,2022
,Milwaukee Bucks,103,Boston Celtics,117,1,2022
,Philadelphia 76ers,91,Memphis Grizzlies,126,1,2022
,Charlotte Hornets,96,Dallas Mavericks,120,1,2022
,Washington Wizards,107,Denver Nuggets,113,1,2022
,Phoenix Suns,95,Los Angeles Clippers,111,1,2022
,Toronto Raptors,129,Brooklyn Nets,131,1,2022
,Golden State Warriors,105,New York Knicks,96,0,2022
,Phoenix Suns,111,Portland Trail Blazers,107,0,2022
,Houston Rockets,89,Cleveland Cavaliers,124,1,2022
,Atlanta Hawks,111,Orlando Magic,99,0,2022
,Miami Heat,101,Philadelphia 76ers,96,0,2022
,Los Angeles Lakers,107,Dallas Mavericks,104,0,2022
,Indiana Pacers,99,Milwaukee Bucks,114,1,2022
,New Orleans Pelicans,113,Oklahoma City Thunder,110,0,2022
,Charlotte Hornets,131,San Antonio Spurs,115,0,2022
,Minnesota Timberwolves,124,Denver Nuggets,107,0,2022
,Memphis Grizzlies,113,Portland Trail Blazers,103,0,2022
,Washington Wizards,105,Sacramento Kings,119,1,2022
,Los Angeles Clippers,103,Utah Jazz,124,1,2022
,Detroit Pistons,113,Indiana Pacers,122,1,2022
,Philadelphia 76ers,105,Brooklyn Nets,114,1,2022
,New York Knicks,116,Houston Rockets,103,0,2022
,Washington Wizards,98,Phoenix Suns,118,1,2022
,Miami Heat,115,Orlando Magic,105,0,2022
,Denver Nuggets,133,Atlanta Hawks,115,0,2022
,Golden State Warriors,111,Boston Celtics,107,0,2022
,Milwaukee Bucks,112,New Orleans Pelicans,116,1,2022
,San Antonio Spurs,128,Utah Jazz,126,0,2022
,Los Angeles Lakers,92,Minnesota Timberwolves,110,1,2022
,Charlotte Hornets,116,Portland Trail Blazers,125,1,2022
,Memphis Grizzlies,124,Sacramento Kings,105,0,2022
,Houston Rockets,116,Detroit Pistons,107,0,2022
,New York Knicks,107,Boston Celtics,114,1,2022
,Orlando Magic,100,Brooklyn Nets,93,0,2022
,Golden State Warriors,100,Toronto Raptors,119,1,2022
,Los Angeles Clippers,103,Oklahoma City Thunder,104,1,2022
,Cleveland Cavaliers,119,Milwaukee Bucks,90,0,2022
,Washington Wizards,109,Utah Jazz,103,0,2022
,Miami Heat,90,Detroit Pistons,100,1,2022
,Portland Trail Blazers,105,Memphis Grizzlies,100,0,2022
,San Antonio Spurs,114,Sacramento Kings,121,1,2022
,Los Angeles Lakers,110,Chicago Bulls,115,1,2022
,Dallas Mavericks,105,Minnesota Timberwolves,111,1,2022
,Charlotte Hornets,106,Phoenix Suns,137,1,2022
,Philadelphia 76ers,108,Boston Celtics,103,0,2022
,Houston Rockets,118,Chicago Bulls,133,1,2022
,Oklahoma City Thunder,102,Memphis Grizzlies,99,0,2022
,Charlotte Hornets,102,Utah Jazz,112,1,2022
,Sacramento Kings,98,Golden State Warriors,113,1,2022
,San Antonio Spurs,116,Los Angeles Clippers,92,0,2022
,Indiana Pacers,96,Miami Heat,125,1,2022
,Detroit Pistons,91,New York Knicks,105,1,2022
,Portland Trail Blazers,97,New Orleans Pelicans,111,1,2022
,Minnesota Timberwolves,102,Dallas Mavericks,114,1,2022
,Phoenix Suns,108,Los Angeles Lakers,90,0,2022
,Orlando Magic,104,Atlanta Hawks,98,0,2022
,Cleveland Cavaliers,101,Boston Celtics,111,1,2022
,Houston Rockets,106,Milwaukee Bucks,126,1,2022
,Denver Nuggets,94,Oklahoma City Thunder,108,1,2022
,Los Angeles Clippers,105,Sacramento Kings,89,0,2022
,Houston Rockets,106,Indiana Pacers,118,1,2022
,New Orleans Pelicans,110,Orlando Magic,104,0,2022
,Atlanta Hawks,98,Philadelphia 76ers,96,0,2022
,Detroit Pistons,112,Miami Heat,115,1,2022
,Washington Wizards,124,New York Knicks,117,0,2022
,Milwaukee Bucks,102,Dallas Mavericks,95,0,2022
